Incident_ID,Incident_Date,City,Address,Victims_Killed,Victims_Injured,Suspects_Killed,Suspects_Injured,Suspects_Arrested
2569615,10-Apr-23,Adrian,N McVicar St and E Maumee St,0,1,0,0,0
2533419,24-Feb-23,Adrian,Baldwin Hwy,1,0,0,0,1
2525496,13-Feb-23,Adrian,Frank St and S Tecumseh St,1,0,0,0,0
2470417,22-Nov-22,Adrian,E Church St and S Locust St,0,1,0,0,0
2375559,31-Jul-22,Adrian,W Maumee St and N Madison St,0,1,0,0,0
2351206,4-Jul-22,Adrian,2900 block of Gady Rd,1,0,0,0,1
2269206,3-Apr-22,Adrian,500 block of Erie St,0,0,0,1,0
2553575,23-Mar-23,Albion,500 block of W Broadwell St,1,0,0,0,1
2337750,22-Jun-22,Albion,717 N Eaton St,0,0,1,0,0
2624957,14-Jun-23,Allen Park,6700 block of Pelham Rd,0,1,0,0,0
2458810,12-Nov-22,Allen Park,14887 Southfield Rd,0,1,0,0,1
2443188,23-Oct-22,Allendale,10452 Lodge Dr,0,1,0,0,0
2417696,18-Sep-22,Allendale,10295 48th Ave,0,4,0,0,1
2632824,22-Jun-23,Ann Arbor,1020 Arbordale St,1,0,0,0,0
2617070,4-Jun-23,Ann Arbor,2575 Sandalwood Cir,1,0,0,0,1
2616708,4-Jun-23,Ann Arbor,1200 block of S University Ave,0,1,0,0,0
2608534,24-May-23,Ann Arbor,1800 block of Arbordale St,0,0,0,0,0
2567230,7-Apr-23,Ann Arbor,800 block of S Maple Rd,0,1,0,1,0
2527808,17-Feb-23,Ann Arbor,2201 Glencoe Hills Dr,0,1,0,0,0
2506115,19-Jan-23,Ann Arbor,3700 block of Plaza Dr,1,0,1,0,0
2298584,9-May-22,Ann Arbor,3300 block of Geddes Rd,0,1,0,0,0
2404984,1-Sep-22,Auburn Hills,2800 Waukegan St,0,0,0,0,1
2543846,10-Mar-23,Baldwin,N/A,0,1,0,0,1
2440154,17-Oct-22,Baldwin,S Harvard Ave,1,0,0,0,1
2628794,18-Jun-23,Baroda,2100 block of Russell Rd,1,0,0,0,1
2601538,13-May-23,Barryton,3275 Evergreen Rd,0,1,0,0,0
2627468,17-Jun-23,Battle Creek,Golden Ave and Riverside Dr,1,0,0,0,0
2628694,17-Jun-23,Battle Creek,2167 W Columbia Ave,1,0,0,0,1
2623142,11-Jun-23,Battle Creek,Greenwood Ave and Kendall St N,0,2,0,0,0
2595384,10-May-23,Battle Creek,200 E Coolidge Ave,0,1,0,0,1
2542745,8-Mar-23,Battle Creek,1975 E Columbia Ave,0,0,1,0,0
2601911,24-Feb-23,Battle Creek,151 Minges Creek Pl,2,0,0,0,1
2527799,17-Feb-23,Battle Creek,Capital Ave SW and Battle Creek Ave,1,0,0,0,2
2488346,25-Dec-22,Battle Creek,200 block of N Birdsall Dr,0,0,0,1,0
2479344,12-Dec-22,Battle Creek,200 block of Howland St,0,1,0,0,1
2445125,25-Oct-22,Battle Creek,Warren St and Oak St,1,0,0,0,0
2433751,7-Oct-22,Battle Creek,62 Champion St,0,0,0,0,0
2419619,20-Sep-22,Battle Creek,94 Cliff St,1,0,0,0,3
2357587,11-Jul-22,Battle Creek,420 Arbor Pointe Dr,1,0,0,0,1
2347696,3-Jul-22,Battle Creek,Graves Ave and Hubbard St,0,2,0,0,1
2313141,26-May-22,Battle Creek,S Wabash Ave and Capital Ave NE,0,1,0,0,1
2302947,15-May-22,Battle Creek,948 N Raymond Rd,0,1,0,0,0
2291350,29-Apr-22,Battle Creek,50 block of W Goguac St,0,1,0,0,0
2285783,23-Apr-22,Battle Creek,300 N Washington Ave,0,1,0,0,0
2250288,7-Mar-22,Battle Creek,115 E Emmett St,0,0,0,0,1
2473952,2-Dec-22,Battle Creek,4000 block of Dickman Rd,0,2,0,0,0
2272029,3-Apr-22,Battle Creek,400 block of N 25th St,0,1,0,0,0
2564143,29-Mar-23,Bay City,4000 block of Sallyanne Dr,0,1,0,0,1
2454243,6-Nov-22,Bay City,Marleen Dr and Murphy St,0,0,0,1,0
2443164,22-Oct-22,Bay City,200 block of S Sherman St,0,1,0,0,1
2400097,28-Aug-22,Bay City,3325 Alarie Dr,1,0,1,0,0
2355391,8-Jul-22,Bay City,4101 Wilder Rd,0,1,0,0,0
2340849,26-Jun-22,Bay City,1305 Columbus Ave,1,0,0,0,0
2618031,6-Jun-23,Beaverton,385 W Brown St,1,0,0,0,1
2641794,29-Jun-23,Belleville,10800 block of Belleville Rd,1,0,0,0,1
2571157,1-Apr-23,Belleville,45601 S I-94 Service Dr,0,1,0,0,0
2514385,23-Jan-23,Belleville,Rawsonville Rd and S Grove St,0,1,0,0,1
